lwagepred;zimean_pred;zisd_pred
2.6114929;.037362102;.83961594
2.6012797;.032826975;.85020232
2.5910664;.028291846;.85805887
2.5808532;.023756716;.8639999
2.5706401;.019221589;.86876714
2.5604267;.01468646;.87303019
2.5502136;.01015133;.87738621
2.5400004;.005616202;.88235992
2.5297871;.0010810734;.88840371
2.5195739;-.0034540554;.89589775
2.5093608;-.007989184;.9051497
2.4991477;-.012524312;.91639477
2.4889343;-.017059442;.9297961
2.4787211;-.021594571;.94544423
2.468508;-.026129698;.96335739
2.4582946;-.030664828;.98348451
2.4480815;-.035199955;1.00569
2.4378684;-.039735086;1.0297872
2.427655;-.044270214;1.0554928
2.4174418;-.048805341;1.0824752
2.4072287;-.053340472;1.1103065
2.3970153;-.0578756;1.1385105
2.3868022;-.062410727;1.1665144
2.3765891;-.066945858;1.1936975
2.3663757;-.071480989;1.219342
2.3561625;-.076016113;1.2426823
2.3459494;-.080551244;1.2628566
2.335736;-.085086375;1.2789541
2.3255229;-.089621499;1.2899681
2.3153098;-.09415663;1.2948434
2.3050964;-.098691761;1.2924285
2.2948833;-.10322689;1.2815235
2.2846701;-.10776202;1.260832
2.2744567;-.11229715;1.2290095
2.2642436;-.11683227;1.1846149
2.2540305;-.1213674;1.126159
2.2438171;-.12590253;1.052056
2.233604;-.13043766;.96067172
2.2233908;-.13497278;.85027587
2.2131774;-.13950792;.71908957
2.2029643;-.14404304;.5652377
