lwagepred;zimean_pred;zisd_pred
3.0686109;.037362102;.83961594
3.0583975;.032826975;.85020232
3.0481844;.028291846;.85805887
3.0379713;.023756716;.8639999
3.0277579;.019221589;.86876714
3.0175447;.01468646;.87303019
3.0073316;.01015133;.87738621
2.9971182;.005616202;.88235992
2.9869051;.0010810734;.88840371
2.976692;-.0034540554;.89589775
2.9664786;-.007989184;.9051497
2.9562654;-.012524312;.91639477
2.9460523;-.017059442;.9297961
2.9358389;-.021594571;.94544423
2.9256258;-.026129698;.96335739
2.9154127;-.030664828;.98348451
2.9051993;-.035199955;1.00569
2.8949862;-.039735086;1.0297872
2.884773;-.044270214;1.0554928
2.8745596;-.048805341;1.0824752
2.8643465;-.053340472;1.1103065
2.8541334;-.0578756;1.1385105
2.84392;-.062410727;1.1665144
2.8337069;-.066945858;1.1936975
2.8234937;-.071480989;1.219342
2.8132803;-.076016113;1.2426823
2.8030672;-.080551244;1.2628566
2.7928541;-.085086375;1.2789541
2.7826409;-.089621499;1.2899681
2.7724276;-.09415663;1.2948434
2.7622144;-.098691761;1.2924285
2.7520013;-.10322689;1.2815235
2.7417879;-.10776202;1.260832
2.7315748;-.11229715;1.2290095
2.7213616;-.11683227;1.1846149
2.7111483;-.1213674;1.126159
2.7009351;-.12590253;1.052056
2.690722;-.13043766;.96067172
2.6805086;-.13497278;.85027587
2.6702955;-.13950792;.71908957
2.6600823;-.14404304;.5652377
