lwagepred;zimean_pred;zisd_pred
3.4427547;.082462527;.85924417
3.4290659;.077248782;.86317074
3.4153771;.072035037;.86623085
3.4016883;.066821292;.86899763
3.3879995;.061607551;.87198532
3.3743107;.05639381;.87564903
3.3606219;.051180065;.88038486
3.3469331;.045966323;.88652986
3.3332443;.040752579;.89436191
3.3195555;.035538837;.9041
3.3058665;.030325094;.91590399
3.2921777;.025111351;.92987472
3.2784889;.019897608;.94605392
3.2648001;.014683865;.96442431
3.2511113;.0094701219;.98490959
3.2374225;.0042563793;1.0073769
3.2237337;-.00095736387;1.0316243
3.2100449;-.0061711068;1.0574082
3.1963561;-.011384849;1.0844063
3.1826673;-.016598593;1.1122566
3.1689785;-.021812337;1.140519
3.1552896;-.02702608;1.1687136
3.1416008;-.032239821;1.1962816
3.1279118;-.037453566;1.222625
3.114223;-.042667307;1.2470675
3.1005342;-.047881052;1.2688926
3.0868454;-.053094793;1.287306
3.0731566;-.058308538;1.3014733
3.0594678;-.063522279;1.3104815
3.045779;-.068736024;1.3133786
3.0320902;-.073949769;1.3091334
3.0184014;-.079163507;1.2966758
3.0047126;-.084377252;1.2748566
2.9910238;-.089590997;1.2424872
2.977335;-.094804741;1.1983006
2.9636462;-.10001848;1.1409903
2.9499574;-.10523222;1.0691707
2.9362683;-.11044597;.98141754
2.9225795;-.11565971;.8762272
2.9088907;-.12087345;.75205702
2.8952019;-.12608719;.6072855
