lwpred;zimean_pred;zisd_pred
1.5854876;1.2690362;.78674972
1.5787538;1.2726145;.77959496
1.5706364;1.2761928;.77437544
1.5639372;1.2797711;.77125847
1.5567595;1.2833493;.77037787
1.5536017;1.2869276;.7718339
1.542768;1.2905059;.77569318
1.53932;1.2940842;.78198892
1.5281705;1.2976624;.7907207
1.5225133;1.3012407;.80185467
1.5141679;1.304819;.81532329
1.5110037;1.3083972;.83102572
1.5020874;1.3119755;.8488273
1.493125;1.3155538;.86856002
1.4938635;1.3191321;.89002228
1.4827175;1.3227103;.91298032
1.4772295;1.3262886;.93716133
1.4658386;1.3298669;.96226859
1.4669565;1.3334451;.98796082
1.4069066;1.3370234;1.0138744
1.4003787;1.3406017;1.0396007
1.3938506;1.34418;1.0647092
1.3873227;1.3477582;1.0887243
1.3807946;1.3513365;1.1111481
1.3742666;1.3549148;1.1314381
1.3677387;1.358493;1.1490294
1.3612106;1.3620713;1.1633123
1.3546827;1.3656496;1.1736549
1.3481545;1.3692279;1.1793804
1.3416266;1.3728061;1.1797897
1.3350986;1.3763844;1.174139
1.3285706;1.3799627;1.1616623
1.3220427;1.3835409;1.1415488
1.3155146;1.3871192;1.112965
1.3089867;1.3906975;1.0750331
1.3024585;1.3942758;1.0268528
1.2959306;1.397854;.96747917
1.2894025;1.4014323;.89594471
1.2828746;1.4050106;.81123745
1.2763466;1.4085888;.71232283
1.2698185;1.4121671;.59812176
