lhwage;zi_mean;zi_sd
2.9212525;1.1792334;.61927772
2.7650464;1.1936989;.85010153
2.863477;1.2587425;.81129438
2.7276783;1.235641;.75884897
2.8302455;1.309683;.75228781
2.8727942;1.2930422;.74205053
2.7899189;1.294444;.81224495
2.6980264;1.2868394;.78480309
2.5612683;1.3056259;.81487364
2.6960421;1.3348043;.78582877
2.6601014;1.3399806;.76189613
2.7449737;1.3184086;.82051975
2.6217787;1.355432;.810229
2.5980771;1.3746948;.8927325
2.7510939;1.3432992;.87795973
2.5822608;1.3716886;.93869245
3.009979;1.2290063;.94999439
3.067704;1.2722665;1.0654174
;1.3100142;1.1399983
;1.376949;.98824328
;1.3069204;1.0067651
;1.4211419;1.1750122
;1.2944824;1.1202339
;1.3499055;1.0902982
;1.2910438;1.0829873
;1.3673929;1.0362889
;1.3891209;1.1926455
;1.5248963;1.2120366
;1.258289;1.1981927
;1.2889938;.97558749
;1.2831795;1.1743567
;1.5878923;1.1286644
;1.7061356;1.3227944
;1.3516383;1.2448905
;1.5682056;1.0993459
;1.3669;.98382109
;1.9726712;.93681049
;2.0975575;.99948919
;1.2919567;.67499381
;1.060658;.63300622
;;
