lmpred;zimean_pred;zisd_pred
6.7317481;-.043776266;1.5448946
6.7527728;-.024224423;1.506019
6.7737975;-.0094315819;1.4741207
6.7948222;.0012209291;1.4484323
6.8158464;.0083164899;1.428225
6.8368711;.012403185;1.4128083
6.8578959;.013993805;1.4015296
6.8789206;.013565849;1.393775
6.8999448;.011561518;1.3889689
6.9209695;.0083877193;1.3865738
6.9419942;.0044160681;1.3860905
6.9630189;-.000017115592;1.3870584
6.9840431;-.0046108062;1.3890549
7.0050678;-.009099273;1.3916956
7.0260925;-.013252079;1.3946347
7.0471168;-.016872609;1.3975631
7.0681415;-.019805428;1.4002161
7.0891662;-.021920098;1.4023564
7.1101909;-.023133243;1.4037976
7.1312151;-.023385011;1.4043789
7.1522398;-.022662615;1.4039906
7.1732645;-.020976797;1.4025483
7.1942892;-.018385354;1.4000192
7.2153134;-.014969613;1.3963952
7.2363381;-.010857965;1.3917202
7.2573628;-.0062023238;1.386063
7.2783875;-.0012016675;1.3795435
7.2994118;.003921499;1.3723077
7.3204365;.0088976119;1.3645518
7.3414612;.013433576;1.3564981
7.3624859;.017189238;1.3484199
7.3835101;.019800918;1.340616
7.4045348;.020857872;1.3334361
7.4255595;.019925833;1.3272557
7.4465842;.016523466;1.3225013
7.4676085;.010145914;1.3196247
7.4886332;.0002412585;1.3191289
7.5096579;-.013765948;1.3215426
7.5306826;-.032498211;1.3274454
7.5517068;-.056601569;1.3374424
7.5727315;-.086769119;1.3521899
