logmexp;zi_mean;zi_sd
7.2755718;.054640323;1.417827
6.9135823;.0493774;1.4249003
7.2802916;-.00044992982;1.4581193
7.5114646;.04972741;1.4159461
7.3833852;.036392789;1.3870692
7.3941231;.015003199;1.3544683
7.1510386;.10978781;1.3841166
7.4953823;.06937436;1.4507446
7.5961418;.07094866;1.3237203
7.7214546;-.0293418;1.4371039
7.3764467;.0063740583;1.405082
7.4550233;.1160626;1.3709683
7.6036911;.12265757;1.3632779
7.3147311;-.10615589;1.4197558
7.3032861;-.11728954;1.5145907
7.3624487;-.099854596;1.5110291
7.4638839;-.064014561;1.4229209
7.4443226;-.046435237;1.4215155
7.4428115;-.049345508;1.4176595
7.442481;-.04012394;1.3779935
7.396368;-.065816149;1.3948156
7.5098476;-.06558203;1.365219
7.6580868;-.0026806125;1.3157074
7.748497;-.0035620127;1.337896
7.590868;-.044124272;1.344891
7.6585145;-.055866566;1.3686937
7.6521115;-.095781386;1.3473011
7.6823497;-.0099033238;1.3300894
7.755619;-.062641487;1.3302028
7.7973151;-.12571102;1.3324546
7.7537365;-.13951154;1.3284833
7.7367682;-.24261896;1.3691398
7.5810237;-.2886343;1.370087
7.9296255;-.32388055;1.4030915
