lwpred;zimean_pred;zisd_pred
1.260174;1.2690362;.78674972
1.2536461;1.2726145;.77959496
1.2471182;1.2761928;.77437544
1.2405901;1.2797711;.77125847
1.2340622;1.2833493;.77037787
1.2275341;1.2869276;.7718339
1.2210062;1.2905059;.77569318
1.2661669;1.2940842;.78198892
1.2584044;1.2976624;.7907207
1.2531972;1.3012407;.80185467
1.2408159;1.304819;.81532329
1.2385964;1.3083972;.83102572
1.2336938;1.3119755;.8488273
1.2237691;1.3155538;.86856002
1.2127391;1.3191321;.89002228
1.2093515;1.3227103;.91298032
1.1948305;1.3262886;.93716133
1.1912627;1.3298669;.96226859
1.1835648;1.3334451;.98796082
1.1755469;1.3370234;1.0138744
1.1724547;1.3406017;1.0396007
1.1631497;1.34418;1.0647092
1.1555265;1.3477582;1.0887243
1.1476717;1.3513365;1.1111481
1.1386398;1.3549148;1.1314381
1.1299949;1.358493;1.1490294
1.1234841;1.3620713;1.1633123
1.1191901;1.3656496;1.1736549
1.1059594;1.3692279;1.1793804
1.0960317;1.3728061;1.1797897
1.0882738;1.3763844;1.174139
1.0845668;1.3799627;1.1616623
1.0759501;1.3835409;1.1415488
1.0689694;1.3871192;1.112965
1.0618016;1.3906975;1.0750331
1.0562851;1.3942758;1.0268528
1.0519269;1.397854;.96747917
1.0396349;1.4014323;.89594471
1.0303074;1.4050106;.81123745
1.0004023;1.4085888;.71232283
.9990539;1.4121671;.59812176
