logmexp;zi_mean;zi_sd
7.622848;.05675796;1.6132631
7.4675961;-.001320395;1.5129149
7.5871382;.035917666;1.4823757
7.4508567;-.004791101;1.4707305
7.4078898;.039115325;1.5078497
7.3893375;.038345609;1.4557579
7.4018855;.011704783;1.4155749
7.4105453;.054640323;1.417827
7.4809523;.0493774;1.4249003
7.3888268;-.00044992982;1.4581193
7.5544763;.04972741;1.4159461
7.4434214;.036392789;1.3870692
7.3335023;.015003199;1.3544683
7.6617556;.10978781;1.3841166
7.5862775;.06937436;1.4507446
7.7276669;.07094866;1.3237203
7.6271892;-.0293418;1.4371039
7.8092527;.0063740583;1.405082
