logmexp;zi_mean;zi_sd
6.2988095;.05675796;1.6132631
6.5304642;-.001320395;1.5129149
6.6361637;.035917666;1.4823757
6.6497426;-.004791101;1.4707305
6.6412072;.039115325;1.5078497
6.7011194;.038345609;1.4557579
6.6550264;.011704783;1.4155749
6.7365365;.054640323;1.417827
6.8219523;.0493774;1.4249003
6.8349547;-.00044992982;1.4581193
6.8299093;.04972741;1.4159461
6.836235;.036392789;1.3870692
6.9679842;.015003199;1.3544683
7.0277977;.10978781;1.3841166
7.0339732;.06937436;1.4507446
7.0555267;.07094866;1.3237203
7.1573997;-.0293418;1.4371039
6.9011211;.0063740583;1.405082
;.1160626;1.3709683
