logwagepred,zimean_pred,zisd_pred
2.9034555,.0035059538,.50803983
2.8877378,.0032727334,.45246786
2.87202,.0030395132,.40708745
2.8563023,.0028062928,.37095743
2.8405845,.0025730724,.34317628
2.8248668,.0023398523,.32288218
2.8091488,.0021066319,.30925292
2.793431,.0018734116,.30150604
2.7777133,.0016401913,.2988987
2.7619956,.0014069709,.30072773
2.7462778,.0011737506,.3063297
2.7305601,.00094053027,.31508076
2.7148423,.00070730993,.32639682
2.6991246,.00047408961,.33973339
2.6834068,.0002408693,.35458577
2.6676888,7.6489696e-06,.37048712
2.6519711,-.00022557136,.38701704
2.6362534,-.00045879168,.40378311
2.6205356,-.00069201202,.42044589
2.6048179,-.00092523231,.43669239
2.5891001,-.0011584527,.45226243
2.5733824,-.001391673,.4669224
2.5576646,-.0016248933,.48049152
2.5419469,-.0018581137,.49281543
2.5262289,-.002091334,.50379276
2.5105112,-.0023245544,.51334852
2.4947934,-.0025577745,.52146065
2.4790757,-.0027909949,.52813351
2.4633579,-.0030242153,.53342444
2.4476402,-.0032574355,.53741705
2.4319224,-.0034906559,.5402481
2.4162047,-.0037238763,.54208058
2.4004867,-.0039570965,.54313046
2.384769,-.0041903169,.54364026
2.3690512,-.0044235373,.5439052
2.3533335,-.0046567577,.54424715
2.3376157,-.0048899776,.54504067
2.321898,-.005123198,.54668701
2.3061802,-.0053564184,.54964012
2.2904625,-.0055896388,.55438048
2.2747447,-.0058228592,.56144148
