logmexp;zi_mean;zi_sd
6.2988095;-.042523213;1.5594621
6.5304642;-.061985083;1.4727314
6.6361637;-.010609768;1.4523659
6.6497426;-.051496696;1.4501357
6.6412072;.0016080299;1.471122
6.7011194;.01447475;1.4243385
6.6550264;-.006599593;1.3842653
6.7365365;.047025967;1.3877598
6.8219523;.020009695;1.4072471
6.8349547;-.01313853;1.4407721
6.8299093;.029503331;1.3885232
6.836235;.037848998;1.3581766
6.9679842;.019421466;1.3368753
7.0277977;.11625664;1.3623164
7.0339732;.072569884;1.4206311
7.0555267;.085678704;1.2990029
7.1573997;-.042160254;1.4121619
6.9011211;-.022512177;1.3817626
;.041284293;1.3496363
;.059817724;1.342657
;-.15454853;1.4043155
;-.15143269;1.5068514
;-.122889;1.4871552
;-.075250015;1.4080855
;-.049057037;1.4056473
;-.04084561;1.4001842
;-.017509667;1.3614528
;-.028359244;1.3843454
;-.017405441;1.3568324
;.052698757;1.3025085
;.070188537;1.3164036
;.045013037;1.3355328
;.049662519;1.3611461
;.019725667;1.3322628
;.13187581;1.311904
;.078596599;1.3248197
;.036655601;1.3133959
;.030400958;1.3177593
;-.031861257;1.3785757
;-.085760936;1.3439034
;-.066551976;1.4028986
