lmpred;zimean_pred;zisd_pred
6.8703165;.03267701;1.415252
6.8948951;.028746992;1.4094635
6.9194736;.024816977;1.4065228
6.9440522;.020886961;1.4058342
6.9686308;.016956946;1.4068491
6.9932094;.01302693;1.4090651
7.0177879;.0090969149;1.4120265
7.0423665;.0051668989;1.4153242
7.0669451;.0012368836;1.4185934
7.0915241;-.002693132;1.4215239
7.1161027;-.0066231475;1.4238385
7.1406813;-.010553163;1.4253217
7.1652598;-.014483179;1.4257895
7.1898384;-.018413194;1.4251194
7.214417;-.022343209;1.4232204
7.2389956;-.026273225;1.4200634
7.2635741;-.030203242;1.4156502
7.2881527;-.034133255;1.4100449
7.3127313;-.038063273;1.4033425
7.3373098;-.041993286;1.3956999
7.3618884;-.045923304;1.3873051
7.3864675;-.049853317;1.3784086
7.411046;-.053783335;1.3692911
7.4356246;-.057713348;1.3602961
7.4602032;-.061643366;1.3517977
7.4847817;-.065573379;1.3442322
7.5093603;-.069503397;1.3380669
7.5339389;-.073433414;1.3338312
7.5585175;-.077363424;1.3320855
7.583096;-.081293441;1.3334522
7.6076746;-.085223459;1.3385848
7.6322532;-.089153476;1.3481988
7.6568322;-.093083493;1.3630407
7.6814108;-.097013503;1.3839191
