lhwage;zi_mean;zi_sd
;1.1792334;.61927772
;1.1936989;.85010153
;1.2587425;.81129438
;1.235641;.75884897
;1.309683;.75228781
;1.2930422;.74205053
;1.294444;.81224495
2.856519;1.2868394;.78480309
2.852222;1.3056259;.81487364
2.9194145;1.3348043;.78582877
2.8743715;1.3399806;.76189613
2.8531611;1.3184086;.82051975
2.8798895;1.355432;.810229
2.8436358;1.3746948;.8927325
2.7880056;1.3432992;.87795973
2.714494;1.3716886;.93869245
2.6613874;1.2290063;.94999439
2.7895794;1.2722665;1.0654174
2.5934436;1.3100142;1.1399983
2.6826942;1.376949;.98824328
2.7007911;1.3069204;1.0067651
2.8367145;1.4211419;1.1750122
2.536787;1.2944824;1.1202339
2.6950378;1.3499055;1.0902982
2.5807855;1.2910438;1.0829873
2.6974866;1.3673929;1.0362889
2.6334972;1.3891209;1.1926455
2.8647227;1.5248963;1.2120366
2.5874643;1.258289;1.1981927
2.5613244;1.2889938;.97558749
2.5670214;1.2831795;1.1743567
2.6932466;1.5878923;1.1286644
2.9764268;1.7061356;1.3227944
2.6658878;1.3516383;1.2448905
2.8106833;1.5682056;1.0993459
2.5796766;1.3669;.98382109
2.8141999;1.9726712;.93681049
2.9326317;2.0975575;.99948919
2.875998;1.2919567;.67499381
1.8528559;1.060658;.63300622
;;
