mulaime;muwage;mumexp;mulassets;v_aime;cv_wg_am;v_wage;cv_mx_am;cv_mx_wg;v_mexp;cv_as_am;cv_as_wg;cv_as_mx;v_assets
8.7766342;2.5348606;7.1231341;10.944023;1.3308158;.15737219;.77117974;.0070033213;-.011447391;2.0586209;.16524634;.18109898;.062319551;2.4099169
9.3871508;2.9008098;6.679565;10.775768;.78156728;.12954962;.73757529;.025327142;.04100078;2.3731411;.12661828;.26742023;.077450104;2.2756534
9.1106501;3.0917642;7.2092657;11.747071;1.1164761;.20816435;1.0108955;.020793619;-.13000797;1.7592096;-.016186059;.23756513;-.14955172;1.3725622
9.4690008;3.3711505;6.7919078;11.54297;1.0620053;.053511035;.78073514;.04010414;.13218412;2.4264257;.099987961;.22400105;.0018965753;1.7090105
