age;sc;s1;s2;s3;s4;s5
50;1;.6076977026773553;.1641018523191844;.0251606444961277;.0405356185659112;.0697476973261614
50;2;.185200740493064;.4605385353051027;.207075550866761;.0494385419959592;.022635744647575
50;3;.0647482894447118;.2444657548074497;.6073920445009231;.1491437250024053;.0479358323418849
50;4;.0274137382666917;.0346767274012012;.101083151509339;.5853319955468202;.3066759388038943
50;5;.1149395291181771;.096217130167062;.0592886086268492;.1755501188889042;.5530047868804844
51;1;.5668159954884407;.1650047203209818;.0452338531587157;.0357727553166855;.0343343015295105
51;2;.2529292893966336;.4305149083471009;.1791170477467976;.0482133054375689;.0505622870379931
51;3;.0546698681833433;.25803634647156;.4762639811866218;.1453597112399743;.0482817136623405
51;4;.0984105715625318;.0563360475178979;.1950002218558756;.517662909266975;.1769608217247061
51;5;.0271742753690506;.0901079773424593;.1043848960519894;.2529913187387962;.6898608760454499
52;1;.5369830146313197;.1751675768158061;.0743400152037359;.0667375683026024;.0195727741448248
52;2;.2025794944227148;.4476674010359294;.1772766031180035;.0513005564011078;.0582574295162036
52;3;.1389187672026655;.243220756087843;.4761348898380549;.2052053444447217;.050243680367585
52;4;.068612378675938;.0841297138303607;.2062542463304865;.4906771626038575;.2446070940807374
52;5;.052906345067362;.0498145522300607;.0659942455097193;.1860793682477108;.6273190218906491
53;1;.5064554818966623;.1405161315410479;.0480719531903609;.0373188680843667;.0594502847696289
53;2;.3421320714083493;.4462397697934446;.1946872369510041;.0548475856962584;.0312440667018864
53;3;.0579771398428294;.2934682223015378;.4892282740390264;.1658255742697239;.0796821501727432
53;4;.0421689322220779;.0731394668973917;.2140579162057122;.504314380424606;.2343095634297174
53;5;.0512663746300812;.046636409466578;.0539546196138962;.2376935915250452;.5953139349260242
54;1;.5177417241881946;.1710868809333498;.0553865402093847;.0340907448709735;.0585553669992707
54;2;.2353419278891306;.3805323096999056;.2135354672365864;.063672065050363;.042704427078833
54;3;.1276507414603364;.2639806447948601;.4572420751873218;.147734388924482;.0614516837000964
54;4;.0580658374710086;.117064220437667;.1690180926702692;.5656097508104801;.2000283410464758
54;5;.0611997689913298;.0673359441342175;.1048178246964379;.1888930503437014;.637260181175324
55;1;.5209051007587371;.1511220421227137;.0828647822224546;.0654926972833084;.0449538707492179
55;2;.2603605183187452;.4998529758771531;.2277542390190737;.0439404629061135;.0539296036809963
55;3;.0744106492370797;.2090156644219774;.4433307788378843;.1576172535724413;.0715887913298773
55;4;.0992774937596443;.0878272496808427;.1715711345282272;.4750908992382404;.2253487824874642
55;5;.0450462379257938;.052182067897313;.0744790653923602;.2578586869998963;.6041789517524444
56;1;.471480534708454;.1295970415325633;.0615316728470279;.0583319866193049;.0757557991966099
56;2;.2930400274856031;.4210941623959725;.1541079562945741;.0829905866286308;.0666645515140814
56;3;.0924171885884315;.2829342157256057;.4007909720007907;.1412005705383258;.0323901132250375
56;4;.0665233548826346;.1148463304205138;.2739808524063628;.4865231718915977;.155031258276684
56;5;.0765388943348768;.0515282499253445;.1095885464512445;.2309536843221408;.6701582777875872
57;1;.5255882064368707;.1414668646693077;.0568884133047983;.0391341095604745;.0471428798776565
57;2;.198265846660572;.4602121918510456;.1147168830129808;.0700542415795124;.0682582036628793
57;3;.1222792672762001;.2209124866517137;.5587249520685528;.2076993420417559;.0353632225213953
57;4;.0704692355585795;.1363544893573581;.2041058177776381;.4803367826586111;.1943317598326113
57;5;.083397444067778;.041053967470575;.0655639338360302;.202775524159646;.6549039341054577
58;1;.4761298878562217;.2700945933683327;.0977524717269532;.0520910345037842;.0593743126353841
58;2;.2854790061421809;.4373346466161969;.1765097045010598;.0504218653536886;.0428270417692289
58;3;.1046991020316775;.1765505004541574;.4456857339447423;.2546953956845499;.0808748835123428
58;4;.038263224634171;.0669668539974222;.1854416321479203;.4650328117497313;.1590263458356294
58;5;.0954287793357489;.0490534055638908;.0946104576793243;.177758892708246;.6578974162474147
59;1;.451989593342236;.1631379036093209;.0965018204160343;.0595486294517185;.0672269074885833
59;2;.363456089388464;.4187523572916154;.1579093046527826;.0816775001398201;.0447369652416399
59;3;.0699997101830529;.2236834013873173;.389813882611301;.1480524605241081;.0938285567510147
59;4;.0595484651963287;.1040723750020498;.2589134990616569;.4814691681011178;.1515656842706798
59;5;.0550061418899186;.0903539627096965;.0968614932582253;.2292522417832352;.6426418862480824
60;1;.4342541319610142;.1740040964807705;.0471447051886528;.0445963358661896;.0378176442613464
60;2;.239955795320702;.4055625435839499;.2101658853308402;.0751828806199389;.1276306817856263
60;3;.1556165984340651;.2089413191719022;.4141573119357175;.1863740726665152;.1033914523254282
60;4;.0772643331425376;.137454336062496;.1876326981756873;.4303389559894668;.1874552361525724
60;5;.092909141141681;.0740377047008814;.1408993993691021;.2635077548578894;.5437049854750268
61;1;.5834622439990722;.1779682337586161;.0556477638865963;.0561057280371004;.0516173554630643
61;2;.1611423643378309;.50700472448825;.1876583228597089;.0859167427303076;.0253560119132496
61;3;.0885463288566822;.1434429134761198;.4824335547633004;.196119610181256;.0912313317388017
61;4;.0882247044542134;.1018746446904063;.1550663964969788;.5210380589406347;.2720743528829365
61;5;.0786243583522015;.069709483586608;.1191939619934156;.1408198601107012;.5597209480019479
62;1;.5353157983332623;.1457878544414179;.0507447047376693;.0826581479846684;.0796578365288858
62;2;.3244259753833321;.3168720973525895;.1295886036474316;.0908900476557415;.1052865514241087
62;3;.0921605032874985;.4091297446650075;.4391412818401816;.1364585125722879;.0544358600735903
62;4;.0340608457300206;.0635927181517117;.2284310056632488;.5370460422791963;.2015179310850901
62;5;.0140368772658866;.0646175853892732;.1520944041114687;.152947249508106;.5591018208883252
63;1;.5164970313825276;.1189973760947628;.0263813114967447;.0462094548764618;.0711315386298971
63;2;.3124142185210887;.3658207384203184;.1675622544839325;.0208058540077285;0
63;3;.0744660343896985;.3328934976505724;.3606085202423396;.145026766796358;.0573111925387782
63;4;.0067699899760968;.0971952920794323;.3150859456071675;.6305784411848532;.1884685715092595
63;5;.0898527257305883;.0850930957549142;.1303619681698158;.1573794831345984;.6830886973220653
64;1;.4048760063762384;.2017711054468736;.0160392244822471;.0358143519451723;.0145616920290609
64;2;.2850087774168164;.4271614775510573;.212047519547313;.0651834307599274;.08100006245186
64;3;.1636080227607498;.2544334228242612;.4712525626950304;.1549687562991332;.0590586422965631
64;4;.0684335842127565;.0298443944422059;.250378747634057;.5511691191292079;.0618377500676562
64;5;.0780736092334389;.0867895997356018;.0502819456413526;.1928643418665592;.7835418531548598
65;1;.3346583469963081;.2057805423975848;.0585284996257085;.1372514917988545;.0358548910174221
65;2;.3196310407058352;.3638995887772631;.1637578868570206;.073345527602027;.1579002941398295
65;3;.1791835242218002;.208279110926032;.3499251416960753;.1956880266274851;.1285843577947055
65;4;.1093195248823412;.0574150226432773;.3817131857555342;.4047077873399502;.192752092918018
65;5;.0572075631937154;.164625735255843;.0460752860656614;.1890071666316831;.4849083641300249
66;1;.4018136947665308;.1180442555264061;.1026518488400985;.1402880205211136;.1647292863611396
66;2;.2111211219053588;.3805886715593487;.2791443608682885;.0785155650973777;.0673703588236167
66;3;.3078188655593858;.2771339067290982;.3077861353933727;.2426844739373493;.1023174334535845
66;4;0;.1457952822147688;.2272706738045222;.3761692991872412;.3465758102109592
66;5;.0792463177687245;.0784378839703782;.0831469810937183;.1623426412569182;.3190071111507
67;1;.264455182148868;.1003787262210936;.0580750227718126;.1404869831207261;.183177314656645
67;2;.1649519517889136;.3223296545886642;.1186986484124136;.0502277538263751;.1258899897505979
67;3;.3526792985504099;.3259107334700654;.2571788714381665;.1017965399151049;.0991322172873249
67;4;.0667245778815354;.1910451324456598;.4714271255991977;.2853849649225859;.2221113768363512
67;5;.1511889896302731;.0603357532745168;.0946203317784096;.422103758215208;.369689101469081
68;1;.4266999014549881;.1934766360189829;.2301288998547282;.0305126227022426;.0855685840336839
68;2;.2520723436322532;.364971588606626;.0762907279728826;.1161536892695947;.0554912519081408
68;3;.2477827372326242;.2594396967049988;.4106694030022828;.1864364697223626;.2105329374465301
68;4;.044770351477209;.064495213738327;.2150021906057601;.510246246885336;.1747437639441062
68;5;.0286746662029254;.1176168649310652;.0679087785643462;.1566509714204641;.4736634626675389
69;1;.3729938337534356;.0981201283814764;.0866330715612528;.0246803240040254;.0925204831812236
69;2;.2699477364321214;.4065040650406505;.312728744045758;.0476575860151868;.1143615597053176
69;3;.1977898349496589;.1690318828910435;.2835506593345962;.3365377171931849;.166259935586037
69;4;.0548696258953874;.1903691526598897;.2617475585308885;.3839208428045631;.3805472891819732
69;5;.1043989689693966;.13597477102694;.0553399665275045;.2072035299830397;.2463107323454486
70;1;.297150774049756;.2449425984928944;.1060087121338078;.0510044396060488;.1485405819435199
70;2;.1764953918438648;.3257282658170232;.3232550793070196;.0464797836329926;.1417746450618691
70;3;.177794797215314;.2705014413594296;.3541216373491172;.3236574869448366;.1931118750398935
70;4;.1638885781407316;.1370682243463309;.169105177401656;.409974655122557;.0647870371214677
70;5;.1846704587503334;.0217594699843221;.0475093938083996;.1688836346935652;.4517858608332497
71;1;.2762124378467968;.1817046709048689;.0834001354201527;.1257317523987133;.1036051708909884
71;2;.3162967500180154;.3081046099965739;.1024990466109939;.0981279276992767;.137823515242352
71;3;.1845499747784103;.3735125052343066;.3543182684899096;.1150775478225366;.0148676498139871
71;4;.0856002738344022;.1366782138642506;.3715026189012289;.4345160916559536;.3181891175762118
71;5;.1373405635223751;0;.0882799305777148;.2265466804235198;.4255145464764606
72;1;.2728502474867033;.1316277514289189;.1531085260839489;.1611552180416523;.0852033370962857
72;2;.3004965105912011;.2805089383436702;.2770281552394507;.1413186054539178;.0763787549216663
72;3;.2807513757801211;.3161255016417366;.2363020506174116;.2291105741571741;.1798645337151353
72;4;.0269161004703784;.1232138513924358;.2247648429238194;.2827407663099758;.2098694897987279
72;5;.1189857656715959;.1485239571932385;.1087964251353694;.1856748360372799;.4486838844681847
73;1;.3034053460270963;.1402388397880084;.0862921243353911;.0826866048331125;0
73;2;.2586912172411989;.4235565246405376;.1774573988587799;.1855795318316613;.1505373201219809
73;3;.1869435580896584;.3502052408184802;.2647303808997424;.1163874692409616;.0300080865947642
73;4;.1423445101218811;.0421189853576777;.4133848153885676;.4109723010915515;.3515038143395785
73;5;.1086153685201653;.0438804093952961;.0581352805175192;.2043740930027131;.4679507789436764
74;1;.5340791792219709;.1191781651848598;.0330396636812283;.090881862483203;.2395002310515899
74;2;.1751034835104109;.412432031261833;.2950904770608664;.1437418038758561;.0251105124113939
74;3;.0923062486315153;.2534647016948639;.3466715408517638;.1908300548836758;.063648173820547
74;4;.1140247526300973;.131673810641746;.2090732955583988;.2797205627600499;.1199375724760883
74;5;.0844863360060057;.0832512912166972;.1161250228477426;.2948257159972154;.5518035102403808
75;1;.2955845873987101;.0978437033777329;.1976179243330933;.1995795559059256;.0890413745406219
75;2;.4564577476434596;.3410361815625369;.1662983471142784;.0826637558998615;.0791825443104921
75;3;.2177443360343972;.3355837242001095;.3626581911785398;.1217771848437989;.0463107362254377
75;4;.0302133289234331;.1569513464779057;.2491164469164618;.4202015301739385;.2290042174638261
75;5;0;.0685850443817149;.0243090904576267;.1757779731764753;.5564611274596222
76;1;.3391600963127331;.064813496316393;.0936869104749297;.1655219677895144;.1226717891358265
76;2;.3727751286530381;.3611208957572942;.2122372993546252;.1129154809970054;.063803919661528
76;3;.0766134743402106;.4320724879898673;.3544266093000166;.1670863068190283;0
76;4;.0635593220338983;.1275210036798597;.2261459539963594;.1799883791957807;.1997884549919759
76;5;.1478919786601199;.0144721162565859;.1135032268740692;.374487865198671;.6137358362106697
77;1;.350435401088022;.3367509651429531;.2347904670320122;.02997450938239;.0695239948840572
77;2;.1774860152630668;.3078526268673418;.2526097484677504;.1264242498694758;.1423566701885114
77;3;.1375790546125603;.1046830414591842;.403146759972657;.0873283990049446;.1142050825779903
77;4;.1638376809365448;.1766491355676159;.0213877721263802;.5262584072970732;.2284796752488461
77;5;.1706618480998058;.0740642309629049;.0880652524012003;.2300144344461166;.445434577100595
78;1;.2577533246157263;.0478251314388112;.1117428549768782;0;.0597072065174114
78;2;.313587130838124;.7734349906175511;.2112235615192176;.4237183182798454;0
78;3;0;.1100535898432877;.4748313243878402;.1559797578630453;.2075893540779762
78;4;.4286595445461499;.0686862881003499;.202202259116064;.2875536480686695;.2863005727236532
78;5;0;0;0;.1327482757884398;.4464028666809592
79;1;.3987653841674108;.2024800018336427;.0716400982924831;.2369822045941417;.1171929824561403
