lmpred;zimean_pred;zisd_pred
7.2909045;-.043776266;1.5448946
7.3092914;-.024224423;1.506019
7.3276777;-.0094315819;1.4741207
7.3460646;.0012209291;1.4484323
7.3644514;.0083164899;1.428225
7.3828378;.012403185;1.4128083
7.4012246;.013993805;1.4015296
7.419611;.013565849;1.393775
7.4379978;.011561518;1.3889689
7.4563847;.0083877193;1.3865738
7.474771;.0044160681;1.3860905
7.4931579;-.000017115592;1.3870584
7.5115447;-.0046108062;1.3890549
7.5299311;-.009099273;1.3916956
7.5483179;-.013252079;1.3946347
7.5667043;-.016872609;1.3975631
7.5850911;-.019805428;1.4002161
7.603478;-.021920098;1.4023564
7.6218643;-.023133243;1.4037976
7.6402512;-.023385011;1.4043789
7.658638;-.022662615;1.4039906
7.6770244;-.020976797;1.4025483
7.6954112;-.018385354;1.4000192
7.7137976;-.014969613;1.3963952
7.7321844;-.010857965;1.3917202
7.7505713;-.0062023238;1.386063
7.7689576;-.0012016675;1.3795435
7.7873445;.003921499;1.3723077
7.8057308;.0088976119;1.3645518
7.8241177;.013433576;1.3564981
7.8425045;.017189238;1.3484199
7.8608909;.019800918;1.340616
7.8792777;.020857872;1.3334361
7.8976645;.019925833;1.3272557
7.9160509;.016523466;1.3225013
7.9344378;.010145914;1.3196247
7.9528241;.0002412585;1.3191289
7.971211;-.013765948;1.3215426
7.9895978;-.032498211;1.3274454
8.0079842;-.056601569;1.3374424
8.026371;-.086769119;1.3521899
