logmexp;zi_mean;zi_sd
7.4833946;.054640323;1.417827
6.9107132;.0493774;1.4249003
7.3090687;-.00044992982;1.4581193
6.7539501;.04972741;1.4159461
6.6782489;.036392789;1.3870692
6.7433896;.015003199;1.3544683
7.0663304;.10978781;1.3841166
6.8545628;.06937436;1.4507446
6.8696771;.07094866;1.3237203
7.0268965;-.0293418;1.4371039
7.0781398;.0063740583;1.405082
7.079031;.1160626;1.3709683
7.1797333;.12265757;1.3632779
7.0115499;-.10615589;1.4197558
7.1005926;-.11728954;1.5145907
7.1475229;-.099854596;1.5110291
7.2271252;-.064014561;1.4229209
7.34131;-.046435237;1.4215155
7.3084402;-.049345508;1.4176595
7.3406854;-.04012394;1.3779935
7.2947412;-.065816149;1.3948156
7.3682184;-.06558203;1.365219
7.3988738;-.0026806125;1.3157074
7.5247478;-.0035620127;1.337896
7.4558716;-.044124272;1.344891
7.5436158;-.055866566;1.3686937
7.4985204;-.095781386;1.3473011
7.6057377;-.0099033238;1.3300894
7.4080477;-.062641487;1.3302028
7.5001845;-.12571102;1.3324546
7.5146003;-.13951154;1.3284833
7.2659035;-.24261896;1.3691398
7.3911595;-.2886343;1.370087
7.4631634;-.32388055;1.4030915
