logmexp;zi_mean;zi_sd
6.9731193;.054640323;1.417827
6.7766328;.0493774;1.4249003
6.9513798;-.00044992982;1.4581193
6.7236109;.04972741;1.4159461
6.9148693;.036392789;1.3870692
6.9084435;.015003199;1.3544683
6.9376774;.10978781;1.3841166
6.9478254;.06937436;1.4507446
7.1236501;.07094866;1.3237203
6.9903884;-.0293418;1.4371039
6.9279327;.0063740583;1.405082
6.9816699;.1160626;1.3709683
7.0449514;.12265757;1.3632779
6.9717546;-.10615589;1.4197558
6.9306231;-.11728954;1.5145907
7.0146284;-.099854596;1.5110291
7.0234833;-.064014561;1.4229209
7.0414271;-.046435237;1.4215155
7.0142374;-.049345508;1.4176595
7.0981183;-.04012394;1.3779935
7.0807557;-.065816149;1.3948156
7.1707993;-.06558203;1.365219
7.1964021;-.0026806125;1.3157074
7.201509;-.0035620127;1.337896
7.2673779;-.044124272;1.344891
7.2971201;-.055866566;1.3686937
7.2576265;-.095781386;1.3473011
7.4670649;-.0099033238;1.3300894
7.42066;-.062641487;1.3302028
7.5371523;-.12571102;1.3324546
7.3798642;-.13951154;1.3284833
7.5509553;-.24261896;1.3691398
7.4038424;-.2886343;1.370087
7.4456749;-.32388055;1.4030915
