lhwage;zi_mean;zi_sd
;-.081247322;.90488636
;-.062269565;.8888166
;-.032046396;.84464633
;-.014597252;.82483262
;-.014497926;.90682328
;-.010819672;.84833741
;.011444478;.89518011
2.9599676;.017349048;.8700822
3.0741699;.0029603918;.84645921
2.9476111;.064567782;.93821269
3.1486273;.017566506;.8986032
2.8100884;.042364456;.92720979
3.1700323;.065519653;.9511826
2.9230478;.12506977;1.0397153
2.8824074;-.026913375;.97138852
2.8655262;.055450708;1.024276
2.5883253;-.053549912;1.0364305
2.7397261;.074842997;1.0783967
2.5775805;-.066514626;1.1449533
2.4157233;-.083058544;1.0718776
2.4227545;-.074684389;1.1921787
2.9328585;.073198371;1.1165328
2.5108788;-.13426425;1.2731786
2.7543037;-.045221027;1.1837144
2.2128463;-.10378761;1.2118814
2.4359736;-.20508491;1.1544319
2.1198421;-.083449095;1.2890162
2.7979302;-.031898338;1.2347108
2.3436916;-.14943324;1.3492776
3.6568379;-.15094951;1.2155061
2.1438065;.11285081;1.4260392
2.5558107;.037073657;1.4083869
1.6554648;.33807737;1.3911169
;-.39469826;1.3635046
1.8388441;.1312599;1.220865
2.9940276;.018329997;1.1170723
.36578435;-.41704649;.88494611
3.6192231;.74784058;.54674029
;-.15700281;.7667076
;.42490038;1.2731577
;;
