spred11;spred12;spred13;spred14;spred21;spred22;spred23;spred24;spred31;spred32;spred33;spred34;spred41;spred42;spred43;spred44;spred51;spred52;spred53;spred54;spred15;spred25;spred35;spred45;spred55
.23374633;.33224136;.28426093;.1279624;.09451779;.3606692;.37688738;.13736951;.03075463;.16783455;.51817167;.24279429;.017213533;.076461017;.34097934;.48337784;.013072781;.064024687;.24637094;.45484459;.021788985;.03055612;.040444862;.08196827;.22168699
.23091163;.33238593;.28488708;.12980177;.093127921;.35954183;.37701502;.13902006;.029998891;.1672765;.51805812;.24354845;.017025447;.075981975;.3408905;.48369983;.012299083;.063649282;.24551927;.45684096;.022013605;.031295165;.041118033;.082402252;.2216914
.22807692;.3325305;.28551325;.13164115;.091738053;.35841447;.37714264;.14067058;.029243154;.16671845;.51794457;.24430263;.016837362;.075502925;.34080166;.48402178;.011525386;.063273877;.24466759;.45883733;.02223818;.032034256;.041791186;.08283627;.22169581
.22524221;.33267507;.2861394;.13348052;.090348184;.35728711;.37727028;.14232112;.028487418;.1661604;.51783103;.24505679;.016649278;.075023875;.34071282;.48434374;.010751688;.062898472;.24381591;.4608337;.0224628;.032773301;.042464357;.083270296;.22170022
.2224075;.33281964;.28676555;.13531989;.088958323;.35615978;.37739792;.14397165;.027731679;.16560236;.51771748;.24581097;.016461194;.074544832;.34062397;.48466569;.0099779908;.06252306;.24296424;.46283007;.02268742;.033512324;.043137513;.083704308;.22170465
.21957278;.33296421;.28739172;.13715926;.087568454;.35503241;.37752557;.14562219;.026975943;.16504432;.51760393;.24656513;.016273109;.074065782;.34053513;.48498765;.0092042927;.062147658;.24211258;.46482641;.022912025;.03425137;.043810666;.084138326;.22170907
.21673808;.33310875;.28801787;.13899864;.086178586;.35390505;.37765318;.14727272;.026220204;.16448627;.51749039;.24731931;.016085025;.07358674;.34044629;.48530963;.0084305946;.061772253;.2412609;.46682277;.02313666;.03499046;.044483826;.084572315;.22171348
.21390337;.33325332;.28864405;.14083801;.084788717;.35277769;.37778082;.14892326;.025464468;.16392823;.51737684;.24807347;.015896939;.07310769;.34035745;.48563159;.0076568974;.061396845;.24040923;.46881914;.023361251;.035729505;.045156993;.085006334;.22171789
.21106866;.3333979;.28927019;.14267738;.083398849;.35165036;.37790847;.15057379;.024708731;.16337018;.51726329;.24882765;.015708854;.07262864;.34026861;.48595354;.0068831993;.06102144;.23955755;.47081551;.023585871;.036468536;.045830145;.085440353;.2217223
.20823395;.33354247;.28989634;.14451675;.082008988;.35052299;.37803608;.15222433;.023952993;.16281213;.51714975;.24958181;.01552077;.072149597;.34017977;.48627549;.0061095017;.060646035;.23870587;.47281188;.023810491;.037207603;.04650332;.085874364;.22172672
.20539925;.33368704;.29052252;.14635612;.080619119;.34939563;.37816373;.15387487;.023197256;.16225408;.5170362;.25033599;.015332686;.071670547;.34009093;.48659748;.0053358041;.06027063;.2378542;.47480822;.024035081;.037946649;.047176473;.08630836;.22173116
.20256452;.33383161;.29114866;.14819551;.079229251;.34826827;.37829137;.1555254;.022441518;.16169603;.51692265;.25109017;.015144601;.071191505;.34000209;.48691943;.0045621064;.059895225;.23700254;.47680458;.024259701;.038685709;.047849629;.086742371;.22173555
.19972982;.33397618;.29177484;.15003487;.077839382;.34714094;.37841898;.15717594;.021685781;.16113798;.51680911;.25184435;.014956516;.070712455;.33991325;.48724139;.0037884088;.059519816;.23615086;.47880095;.024484292;.039424755;.048522785;.08717639;.22173996
.19689511;.33412075;.29240099;.15187424;.076449521;.34601358;.37854663;.15882647;.020930042;.16057993;.51669556;.25259849;.014768432;.070233405;.33982441;.48756334;.003014711;.059144411;.23529918;.48079732;.024708912;.040163808;.049195968;.087610416;.22174437
.1940604;.33426532;.29302713;.15371361;.075059652;.34488621;.37867427;.16047701;.020174306;.16002189;.51658201;.25335267;.014580347;.069754362;.33973557;.48788533;.0022410133;.058769006;.23444751;.48279369;.024933532;.040902853;.049869124;.088044398;.22174878
.19122569;.33440989;.29365331;.15555298;.073669784;.34375885;.37880191;.16212754;.019418569;.15946384;.51646847;.25410685;.014392262;.069275312;.33964673;.48820728;.0014673157;.058393601;.23359583;.48479003;.025158122;.041641913;.05054228;.088478416;.22175322
.18839097;.33455446;.29427946;.15739237;.072279915;.34263149;.37892953;.16377808;.018662831;.15890579;.51635492;.25486103;.014204178;.06879627;.33955789;.48852924;.00069361797;.058018193;.23274417;.4867864;.025382742;.042380989;.051215433;.088912427;.22175762
