lwagepred;zimean_pred;zisd_pred
2.7358942;.037362102;.83961594
2.7256811;.032826975;.85020232
2.7154677;.028291846;.85805887
2.7052546;.023756716;.8639999
2.6950414;.019221589;.86876714
2.684828;.01468646;.87303019
2.6746149;.01015133;.87738621
2.6644018;.005616202;.88235992
2.6541884;.0010810734;.88840371
2.6439753;-.0034540554;.89589775
2.6337621;-.007989184;.9051497
2.6235487;-.012524312;.91639477
2.6133356;-.017059442;.9297961
2.6031225;-.021594571;.94544423
2.5929091;-.026129698;.96335739
2.582696;-.030664828;.98348451
2.5724828;-.035199955;1.00569
2.5622697;-.039735086;1.0297872
2.5520563;-.044270214;1.0554928
2.5418432;-.048805341;1.0824752
2.53163;-.053340472;1.1103065
2.5214167;-.0578756;1.1385105
2.5112035;-.062410727;1.1665144
2.5009904;-.066945858;1.1936975
2.490777;-.071480989;1.219342
2.4805639;-.076016113;1.2426823
2.4703507;-.080551244;1.2628566
2.4601374;-.085086375;1.2789541
2.4499242;-.089621499;1.2899681
2.4397111;-.09415663;1.2948434
2.4294977;-.098691761;1.2924285
2.4192846;-.10322689;1.2815235
2.4090714;-.10776202;1.260832
2.3988581;-.11229715;1.2290095
2.3886449;-.11683227;1.1846149
2.3784318;-.1213674;1.126159
2.3682184;-.12590253;1.052056
2.3580053;-.13043766;.96067172
2.3477921;-.13497278;.85027587
2.3375788;-.13950792;.71908957
2.3273656;-.14404304;.5652377
