lwagepred;zimean_pred;zisd_pred
3.3283014;.037362102;.83961594
3.3180883;.032826975;.85020232
3.3078752;.028291846;.85805887
3.2976618;.023756716;.8639999
3.2874486;.019221589;.86876714
3.2772355;.01468646;.87303019
3.2670221;.01015133;.87738621
3.256809;.005616202;.88235992
3.2465959;.0010810734;.88840371
3.2363827;-.0034540554;.89589775
3.2261693;-.007989184;.9051497
3.2159562;-.012524312;.91639477
3.2057431;-.017059442;.9297961
3.1955297;-.021594571;.94544423
3.1853166;-.026129698;.96335739
3.1751034;-.030664828;.98348451
3.1648901;-.035199955;1.00569
3.1546769;-.039735086;1.0297872
3.1444638;-.044270214;1.0554928
3.1342504;-.048805341;1.0824752
3.1240373;-.053340472;1.1103065
3.1138241;-.0578756;1.1385105
3.1036108;-.062410727;1.1665144
3.0933976;-.066945858;1.1936975
3.0831845;-.071480989;1.219342
3.0729711;-.076016113;1.2426823
3.062758;-.080551244;1.2628566
3.0525448;-.085086375;1.2789541
3.0423315;-.089621499;1.2899681
3.0321183;-.09415663;1.2948434
3.0219052;-.098691761;1.2924285
3.0116918;-.10322689;1.2815235
3.0014787;-.10776202;1.260832
2.9912655;-.11229715;1.2290095
2.9810522;-.11683227;1.1846149
2.970839;-.1213674;1.126159
2.9606259;-.12590253;1.052056
2.9504125;-.13043766;.96067172
2.9401994;-.13497278;.85027587
2.9299862;-.13950792;.71908957
2.9197729;-.14404304;.5652377
