lmpred;zimean_pred;zisd_pred
6.9111013;.060187116;1.5952864
6.9356799;.056257103;1.5489855
6.9602585;.052327085;1.5110029
6.9848371;.048397072;1.4804174
7.0094161;.044467054;1.4563543
7.0339947;.040537041;1.4379855
7.0585732;.036607023;1.4245298
7.0831518;.03267701;1.415252
7.1077304;.028746992;1.4094635
7.132309;.024816977;1.4065228
7.1568875;.020886961;1.4058342
7.1814661;.016956946;1.4068491
7.2060447;.01302693;1.4090651
7.2306232;.0090969149;1.4120265
7.2552018;.0051668989;1.4153242
7.2797804;.0012368836;1.4185934
7.3043594;-.002693132;1.4215239
7.328938;-.0066231475;1.4238385
