lwagepred;zimean_pred;zisd_pred
3.2039001;.037362102;.83961594
3.193687;.032826975;.85020232
3.1834738;.028291846;.85805887
3.1732605;.023756716;.8639999
3.1630473;.019221589;.86876714
3.1528342;.01468646;.87303019
3.142621;.01015133;.87738621
3.1324077;.005616202;.88235992
3.1221945;.0010810734;.88840371
3.1119814;-.0034540554;.89589775
3.101768;-.007989184;.9051497
3.0915549;-.012524312;.91639477
3.0813417;-.017059442;.9297961
3.0711284;-.021594571;.94544423
3.0609152;-.026129698;.96335739
3.0507021;-.030664828;.98348451
3.0404887;-.035199955;1.00569
3.0302756;-.039735086;1.0297872
3.0200624;-.044270214;1.0554928
3.0098491;-.048805341;1.0824752
2.9996359;-.053340472;1.1103065
2.9894228;-.0578756;1.1385105
2.9792094;-.062410727;1.1665144
2.9689963;-.066945858;1.1936975
2.9587831;-.071480989;1.219342
2.9485698;-.076016113;1.2426823
2.9383566;-.080551244;1.2628566
2.9281435;-.085086375;1.2789541
2.9179301;-.089621499;1.2899681
2.907717;-.09415663;1.2948434
2.8975039;-.098691761;1.2924285
2.8872905;-.10322689;1.2815235
2.8770773;-.10776202;1.260832
2.8668642;-.11229715;1.2290095
2.8566508;-.11683227;1.1846149
2.8464377;-.1213674;1.126159
2.8362246;-.12590253;1.052056
2.8260112;-.13043766;.96067172
2.815798;-.13497278;.85027587
2.8055849;-.13950792;.71908957
2.7953718;-.14404304;.5652377
