lmpred;zimean_pred;zisd_pred
6.1411209;-.14393389;1.5171961
6.1581311;-.098435044;1.4759988
6.1751413;-.061286878;1.442439
6.192152;-.031578075;1.4156671
6.2091622;-.0084441593;1.3948761
6.2261724;.0089325001;1.3793013
6.2431827;.021322677;1.3682204
6.2601929;.029450299;1.360954
6.2772031;.033992436;1.3568648
6.2942133;.035579316;1.3553581
6.3112235;.034794305;1.3558817
6.3282337;.032173928;1.3579259
6.3452439;.02820785;1.3610235
6.3622541;.023338892;1.3647498
6.3792644;.017963022;1.3687224
6.3962746;.012431306;1.3726001
6.4132848;.0070401537;1.3760906
6.4302955;.0020527882;1.3789324
6.4473057;-.0023300368;1.3809201
6.4643159;-.005938801;1.3818768
6.4813261;-.008666452;1.3816825
6.4983363;-.010437172;1.3802452
6.5153465;-.01123761;1.3775296
6.5323567;-.011085652;1.373529
6.549367;-.010061649;1.3682928
6.5663772;-.0082771871;1.3618995
6.5833874;-.0059063206;1.3544836
6.6003976;-.0031543386;1.3462082
6.6174078;-.00028899728;1.337293
6.634418;.0023907127;1.3279861
6.6514287;.0045233327;1.3185922
6.6684389;.0057161697;1.3094443
6.6854491;.0055140629;1.3009319
6.7024593;.0034306175;1.2934734
6.7194695;-.0010830298;1.2875431
6.7364798;-.0086069759;1.2836441
6.75349;-.019783787;1.282336
6.7705002;-.035287261;1.284207
6.7875104;-.055853665;1.2899014
6.8045206;-.082250506;1.3000923
6.8215308;-.11530775;1.3155093
