lmpred;zimean_pred;zisd_pred
6.8861318;.03267701;1.415252
6.9107103;.028746992;1.4094635
6.9352894;.024816977;1.4065228
6.959868;.020886961;1.4058342
6.9844465;.016956946;1.4068491
7.0090251;.01302693;1.4090651
7.0336037;.0090969149;1.4120265
7.0581822;.0051668989;1.4153242
7.0827608;.0012368836;1.4185934
7.1073394;-.002693132;1.4215239
7.131918;-.0066231475;1.4238385
7.1564965;-.010553163;1.4253217
7.1810751;-.014483179;1.4257895
7.2056541;-.018413194;1.4251194
7.2302327;-.022343209;1.4232204
7.2548113;-.026273225;1.4200634
7.2793899;-.030203242;1.4156502
7.3039684;-.034133255;1.4100449
7.328547;-.038063273;1.4033425
7.3531256;-.041993286;1.3956999
7.3777041;-.045923304;1.3873051
7.4022827;-.049853317;1.3784086
7.4268613;-.053783335;1.3692911
7.4514399;-.057713348;1.3602961
7.4760184;-.061643366;1.3517977
7.5005975;-.065573379;1.3442322
7.525176;-.069503397;1.3380669
7.5497546;-.073433414;1.3338312
7.5743332;-.077363424;1.3320855
7.5989118;-.081293441;1.3334522
7.6234903;-.085223459;1.3385848
7.6480689;-.089153476;1.3481988
7.6726475;-.093083493;1.3630407
7.697226;-.097013503;1.3839191
