lmpred;zimean_pred;zisd_pred
5.8745332;-.14393389;1.5171961
5.8863873;-.098435044;1.4759988
5.898241;-.061286878;1.442439
5.9100947;-.031578075;1.4156671
5.9219484;-.0084441593;1.3948761
5.9338021;.0089325001;1.3793013
5.9456558;.021322677;1.3682204
5.95751;.029450299;1.360954
5.9693637;.033992436;1.3568648
5.9812174;.035579316;1.3553581
5.9930711;.034794305;1.3558817
6.0049248;.032173928;1.3579259
6.0167789;.02820785;1.3610235
6.0286326;.023338892;1.3647498
6.0404863;.017963022;1.3687224
6.05234;.012431306;1.3726001
6.0641937;.0070401537;1.3760906
6.0760474;.0020527882;1.3789324
6.0879016;-.0023300368;1.3809201
6.0997553;-.005938801;1.3818768
6.111609;-.008666452;1.3816825
6.1234627;-.010437172;1.3802452
6.1353164;-.01123761;1.3775296
6.1471701;-.011085652;1.373529
6.1590242;-.010061649;1.3682928
6.1708779;-.0082771871;1.3618995
6.1827316;-.0059063206;1.3544836
6.1945853;-.0031543386;1.3462082
6.206439;-.00028899728;1.337293
6.2182932;.0023907127;1.3279861
6.2301469;.0045233327;1.3185922
6.2420006;.0057161697;1.3094443
6.2538543;.0055140629;1.3009319
6.265708;.0034306175;1.2934734
6.2775617;-.0010830298;1.2875431
6.2894158;-.0086069759;1.2836441
6.3012695;-.019783787;1.282336
6.3131232;-.035287261;1.284207
6.3249769;-.055853665;1.2899014
6.3368306;-.082250506;1.3000923
6.3486843;-.11530775;1.3155093
