lwpred;zimean_pred;zisd_pred
1.780008;1.2690362;.78674972
1.7635003;1.2726145;.77959496
1.7449278;1.2761928;.77437544
1.72638;1.2797711;.77125847
1.7075591;1.2833493;.77037787
1.6911305;1.2869276;.7718339
1.6713659;1.2905059;.77569318
1.6544651;1.2940842;.78198892
1.6371083;1.2976624;.7907207
1.6183137;1.3012407;.80185467
1.5959649;1.304819;.81532329
1.580047;1.3083972;.83102572
1.5616202;1.3119755;.8488273
1.543767;1.3155538;.86856002
1.5289575;1.3191321;.89002228
1.5040534;1.3227103;.91298032
1.483426;1.3262886;.93716133
1.4579756;1.3298669;.96226859
1.4415367;1.3334451;.98796082
1.4234476;1.3370234;1.0138744
1.4053586;1.3406017;1.0396007
1.3872697;1.34418;1.0647092
1.3691807;1.3477582;1.0887243
1.3510916;1.3513365;1.1111481
1.3330028;1.3549148;1.1314381
1.3149137;1.358493;1.1490294
1.2968247;1.3620713;1.1633123
1.2787359;1.3656496;1.1736549
1.2606468;1.3692279;1.1793804
1.2425579;1.3728061;1.1797897
1.2244689;1.3763844;1.174139
1.2063799;1.3799627;1.1616623
1.188291;1.3835409;1.1415488
1.170202;1.3871192;1.112965
1.152113;1.3906975;1.0750331
1.134024;1.3942758;1.0268528
1.1159351;1.397854;.96747917
1.097846;1.4014323;.89594471
1.0797571;1.4050106;.81123745
1.0616682;1.4085888;.71232283
1.0435791;1.4121671;.59812176
