lwpred;zimean_pred;zisd_pred
1.7111562;1.2690362;.78674972
1.6994143;1.2726145;.77959496
1.6850749;1.2761928;.77437544
1.6698157;1.2797711;.77125847
1.6544402;1.2833493;.77037787
1.6400924;1.2869276;.7718339
1.62395;1.2905059;.77569318
1.6130251;1.2940842;.78198892
1.5907205;1.2976624;.7907207
1.5802805;1.3012407;.80185467
1.5616648;1.304819;.81532329
1.5492157;1.3083972;.83102572
1.5357484;1.3119755;.8488273
1.5181893;1.3155538;.86856002
1.4952633;1.3191321;.89002228
1.4922446;1.3227103;.91298032
1.4684627;1.3262886;.93716133
1.4643312;1.3298669;.96226859
1.3907752;1.3334451;.98796082
1.376312;1.3370234;1.0138744
1.3618488;1.3406017;1.0396007
1.3473854;1.34418;1.0647092
1.3329222;1.3477582;1.0887243
1.318459;1.3513365;1.1111481
1.3039958;1.3549148;1.1314381
1.2895325;1.358493;1.1490294
1.2750692;1.3620713;1.1633123
1.2606061;1.3656496;1.1736549
1.2461429;1.3692279;1.1793804
1.2316797;1.3728061;1.1797897
1.2172163;1.3763844;1.174139
1.2027531;1.3799627;1.1616623
1.1882899;1.3835409;1.1415488
1.1738267;1.3871192;1.112965
1.1593633;1.3906975;1.0750331
1.1449001;1.3942758;1.0268528
1.1304369;1.397854;.96747917
1.1159737;1.4014323;.89594471
1.1015103;1.4050106;.81123745
1.0870471;1.4085888;.71232283
1.0725839;1.4121671;.59812176
