logmexp;zi_mean;zi_sd
;-.042523213;1.5594621
;-.061985083;1.4727314
;-.010609768;1.4523659
;-.051496696;1.4501357
;.0016080299;1.471122
;.01447475;1.4243385
;-.006599593;1.3842653
7.5764561;.047025967;1.3877598
7.2542953;.020009695;1.4072471
7.0375357;-.01313853;1.4407721
7.0566177;.029503331;1.3885232
6.846652;.037848998;1.3581766
7.3390164;.019421466;1.3368753
6.9106898;.11625664;1.3623164
7.1934648;.072569884;1.4206311
7.1309714;.085678704;1.2990029
7.0391612;-.042160254;1.4121619
7.0934081;-.022512177;1.3817626
7.1793904;.041284293;1.3496363
7.3533092;.059817724;1.342657
7.2943811;-.15454853;1.4043155
7.0807738;-.15143269;1.5068514
7.1214733;-.122889;1.4871552
7.3128252;-.075250015;1.4080855
7.3487821;-.049057037;1.4056473
7.4620934;-.04084561;1.4001842
7.4043679;-.017509667;1.3614528
7.4478974;-.028359244;1.3843454
7.4932103;-.017405441;1.3568324
7.5293851;.052698757;1.3025085
7.5492373;.070188537;1.3164036
7.6569076;.045013037;1.3355328
7.632247;.049662519;1.3611461
7.5146213;.019725667;1.3322628
7.7179914;.13187581;1.311904
8.0305653;.078596599;1.3248197
7.4034085;.036655601;1.3133959
7.9061012;.030400958;1.3177593
7.5889969;-.031861257;1.3785757
7.4491878;-.085760936;1.3439034
7.8084803;-.066551976;1.4028986
