lmpred;zimean_pred;zisd_pred
6.9111013;.060151748;1.5952952
6.9356799;.056222983;1.5489855
6.9602585;.052294217;1.5109968
6.9848371;.048365451;1.4804077
7.0094161;.044436689;1.4563431
7.0339947;.040507924;1.4379745
7.0585732;.036579158;1.42452
7.0831518;.032650393;1.4152446
7.1077304;.028721629;1.4094592
7.132309;.024792863;1.4065218
7.1568875;.020864099;1.4058368
7.1814661;.016935334;1.4068552
7.2060447;.013006569;1.4090745
7.2306232;.0090778042;1.4120389
7.2552018;.005149039;1.4153389
7.2797804;.0012202738;1.4186099
7.3043594;-.0027084912;1.4215416
7.328938;-.0066372561;1.4238565
7.3535166;-.010566021;1.4253393
7.3780951;-.014494786;1.4258058
7.4026737;-.018423552;1.4251339
7.4272523;-.022352315;1.4232326
7.4518309;-.026281081;1.4200726
7.4764094;-.030209845;1.4156561
7.500988;-.034138612;1.4100472
7.5255666;-.038067374;1.4033409
7.5501451;-.04199614;1.3956947
7.5747242;-.045924906;1.3872969
7.5993028;-.049853671;1.3783977
7.6238813;-.053782437;1.3692787
7.6484599;-.057711199;1.3602834
7.6730385;-.061639965;1.3517863
7.6976171;-.06556873;1.344224
7.7221956;-.069497496;1.3380643
7.7467742;-.073426262;1.3338372
7.7713528;-.077355027;1.3321033
7.7959313;-.081283793;1.3334855
7.8205099;-.085212559;1.3386379
7.845089;-.089141317;1.3482766
7.8696675;-.093070082;1.3631487
7.8942461;-.096998848;1.3840634
