lmpred;zimean_pred;zisd_pred
5.8858633;-.14393389;1.5171961
5.897717;-.098435044;1.4759988
5.9095707;-.061286878;1.442439
5.9214249;-.031578075;1.4156671
5.9332786;-.0084441593;1.3948761
5.9451323;.0089325001;1.3793013
5.956986;.021322677;1.3682204
5.9688396;.029450299;1.360954
5.9806933;.033992436;1.3568648
5.9925475;.035579316;1.3553581
6.0044012;.034794305;1.3558817
6.0162549;.032173928;1.3579259
6.0281086;.02820785;1.3610235
6.0399623;.023338892;1.3647498
6.0518165;.017963022;1.3687224
6.0636702;.012431306;1.3726001
6.0755239;.0070401537;1.3760906
6.0873775;.0020527882;1.3789324
6.0992312;-.0023300368;1.3809201
6.1110849;-.005938801;1.3818768
6.1229391;-.008666452;1.3816825
6.1347928;-.010437172;1.3802452
6.1466465;-.01123761;1.3775296
6.1585002;-.011085652;1.373529
6.1703539;-.010061649;1.3682928
6.1822076;-.0082771871;1.3618995
6.1940618;-.0059063206;1.3544836
6.2059155;-.0031543386;1.3462082
6.2177691;-.00028899728;1.337293
6.2296228;.0023907127;1.3279861
6.2414765;.0045233327;1.3185922
6.2533307;.0057161697;1.3094443
6.2651844;.0055140629;1.3009319
6.2770381;.0034306175;1.2934734
6.2888918;-.0010830298;1.2875431
6.3007455;-.0086069759;1.2836441
6.3125992;-.019783787;1.282336
6.3244534;-.035287261;1.284207
6.336307;-.055853665;1.2899014
6.3481607;-.082250506;1.3000923
6.3600144;-.11530775;1.3155093
