lhwage;zi_mean;zi_sd
;1.1792334;.61927772
;1.1936989;.85010153
;1.2587425;.81129438
;1.235641;.75884897
;1.309683;.75228781
;1.2930422;.74205053
;1.294444;.81224495
2.6055276;1.2868394;.78480309
2.5136244;1.3056259;.81487364
2.6053846;1.3348043;.78582877
2.4589934;1.3399806;.76189613
2.4616647;1.3184086;.82051975
2.4619012;1.355432;.810229
2.404531;1.3746948;.8927325
2.3785167;1.3432992;.87795973
2.391403;1.3716886;.93869245
2.2703269;1.2290063;.94999439
2.2122214;1.2722665;1.0654174
2.2568276;1.3100142;1.1399983
2.4636528;1.376949;.98824328
2.1881673;1.3069204;1.0067651
2.2866163;1.4211419;1.1750122
2.1941576;1.2944824;1.1202339
2.1636429;1.3499055;1.0902982
2.1191308;1.2910438;1.0829873
2.2110927;1.3673929;1.0362889
2.2488484;1.3891209;1.1926455
2.1854739;1.5248963;1.2120366
2.0068061;1.258289;1.1981927
2.24808;1.2889938;.97558749
2.0638907;1.2831795;1.1743567
2.0781994;1.5878923;1.1286644
2.3477445;1.7061356;1.3227944
1.9460504;1.3516383;1.2448905
2.2776587;1.5682056;1.0993459
1.8748351;1.3669;.98382109
2.7161155;1.9726712;.93681049
2.2215784;2.0975575;.99948919
2.0293441;1.2919567;.67499381
1.7960491;1.060658;.63300622
;;
