lhwage;zi_mean;zi_sd
;1.1792334;.61927772
;1.1936989;.85010153
;1.2587425;.81129438
;1.235641;.75884897
;1.309683;.75228781
;1.2930422;.74205053
;1.294444;.81224495
2.5579662;1.2868394;.78480309
2.521354;1.3056259;.81487364
2.5191848;1.3348043;.78582877
2.4704461;1.3399806;.76189613
2.4895601;1.3184086;.82051975
2.4598212;1.355432;.810229
2.3952641;1.3746948;.8927325
2.4871657;1.3432992;.87795973
2.2978659;1.3716886;.93869245
2.3441584;1.2290063;.94999439
2.2821498;1.2722665;1.0654174
2.3440783;1.3100142;1.1399983
2.1931443;1.376949;.98824328
2.3661528;1.3069204;1.0067651
2.4331694;1.4211419;1.1750122
2.4002297;1.2944824;1.1202339
2.234592;1.3499055;1.0902982
2.4122047;1.2910438;1.0829873
2.3686807;1.3673929;1.0362889
2.4161689;1.3891209;1.1926455
2.4272785;1.5248963;1.2120366
2.5235486;1.258289;1.1981927
2.4128084;1.2889938;.97558749
2.7390177;1.2831795;1.1743567
2.713342;1.5878923;1.1286644
2.9383287;1.7061356;1.3227944
2.6037145;1.3516383;1.2448905
2.1464493;1.5682056;1.0993459
2.6593482;1.3669;.98382109
2.7131884;1.9726712;.93681049
3.7311721;2.0975575;.99948919
;1.2919567;.67499381
;1.060658;.63300622
;;
