logmexp;zi_mean;zi_sd
7.5611773;.05675796;1.6132631
7.8970103;-.001320395;1.5129149
8.0216579;.035917666;1.4823757
7.9471455;-.004791101;1.4707305
8.0124474;.039115325;1.5078497
7.9505482;.038345609;1.4557579
8.0002289;.011704783;1.4155749
8.1408405;.054640323;1.417827
7.6982079;.0493774;1.4249003
7.9656825;-.00044992982;1.4581193
8.1393957;.04972741;1.4159461
8.1141386;.036392789;1.3870692
7.9286232;.015003199;1.3544683
8.4349661;.10978781;1.3841166
8.0152998;.06937436;1.4507446
8.5932932;.07094866;1.3237203
8.1377783;-.0293418;1.4371039
8.6181278;.0063740583;1.405082
