lhwage;zi_mean;zi_sd
;1.1792334;.61927772
;1.1936989;.85010153
;1.2587425;.81129438
;1.235641;.75884897
;1.309683;.75228781
;1.2930422;.74205053
;1.294444;.81224495
2.7761221;1.2868394;.78480309
2.8136599;1.3056259;.81487364
2.5047202;1.3348043;.78582877
2.7242172;1.3399806;.76189613
2.6854453;1.3184086;.82051975
2.9331577;1.355432;.810229
2.5984652;1.3746948;.8927325
2.6308756;1.3432992;.87795973
2.8688951;1.3716886;.93869245
2.5344672;1.2290063;.94999439
2.6043537;1.2722665;1.0654174
2.8268523;1.3100142;1.1399983
2.5084348;1.376949;.98824328
2.6203525;1.3069204;1.0067651
2.5383604;1.4211419;1.1750122
2.8382609;1.2944824;1.1202339
2.3829756;1.3499055;1.0902982
2.505044;1.2910438;1.0829873
2.5551701;1.3673929;1.0362889
2.8423948;1.3891209;1.1926455
2.5374899;1.5248963;1.2120366
2.4250071;1.258289;1.1981927
2.2700164;1.2889938;.97558749
2.6238289;1.2831795;1.1743567
2.884711;1.5878923;1.1286644
2.998132;1.7061356;1.3227944
2.4314024;1.3516383;1.2448905
2.9132619;1.5682056;1.0993459
2.4365423;1.3669;.98382109
3.1997032;1.9726712;.93681049
;2.0975575;.99948919
2.7775173;1.2919567;.67499381
2.4350531;1.060658;.63300622
;;
