logmexp;zi_mean;zi_sd
;-.033714067;1.5138911
;-.077189542;1.4445754
;-.038636532;1.4209293
;-.072082162;1.3993864
;-.024412701;1.4451423
;.011174805;1.3953419
;-.0082556363;1.3611307
6.3648229;.03804452;1.3720342
6.7990937;.027001536;1.3808982
6.562427;-.0073487689;1.3903835
6.3968611;.057547115;1.3400544
6.9242435;.031280629;1.3432771
6.7517767;.038368471;1.304971
7.2634397;.14091636;1.3145396
6.8608394;.0075544794;1.4072245
7.0532327;.12119547;1.2641656
6.8947577;-.061988272;1.3674306
6.9580169;.018569911;1.3384541
6.9059815;.10452139;1.3149873
7.2743049;.13910232;1.330111
6.8927484;-.13085558;1.3843952
6.8921995;-.096625306;1.5020776
6.9957294;-.091450326;1.4796398
7.0516849;-.024631554;1.3691957
6.9489775;-.025506696;1.404616
7.1253853;-.01895174;1.3715354
6.966639;.002239716;1.3318913
7.1433372;-.014130708;1.3548046
7.1695356;.0090458198;1.330448
7.2158437;.043960106;1.2664535
7.1693282;.035164401;1.2897911
7.2821598;-.014850301;1.2936478
7.3180933;.015801212;1.3209121
7.2421451;-.0046766829;1.3046571
7.4817677;.0790805;1.26147
7.5267711;-.00063826825;1.2749106
7.5538464;-.033454135;1.3057303
7.383183;-.044459168;1.2859983
7.5493584;-.1077001;1.324067
7.4291205;-.13779509;1.3189616
;;
