mulaime;muwage;mumexp;v_aime;cv_wg_am;v_wage;cv_mx_am;cv_mx_wg;v_mexp
8.3092318;2.4516954;7.2589149;1.4136195;.19767998;.5468514;.39841673;.28295437;2.6549029
8.7125454;2.2382543;6.7310433;1.0207961;.36402178;1.1905304;.0015045234;-.52083749;3.0404274
8.9583101;2.7098553;7.321908;1.3516438;.53524131;1.0420971;.16933122;-.051241167;1.84638
8.704484;2.9070361;8.0501175;1.7977988;.55791008;1.1001304;-.013814169;.11269996;.75754577
