lwagepred;zimean_pred;zisd_pred
2.8711836;.037362102;.83961594
2.8609705;.032826975;.85020232
2.8507571;.028291846;.85805887
2.840544;.023756716;.8639999
2.8303308;.019221589;.86876714
2.8201175;.01468646;.87303019
2.8099043;.01015133;.87738621
2.7996912;.005616202;.88235992
2.7894778;.0010810734;.88840371
2.7792647;-.0034540554;.89589775
2.7690516;-.007989184;.9051497
2.7588382;-.012524312;.91639477
2.748625;-.017059442;.9297961
2.7384119;-.021594571;.94544423
2.7281985;-.026129698;.96335739
2.7179854;-.030664828;.98348451
2.7077723;-.035199955;1.00569
2.6975589;-.039735086;1.0297872
2.6873457;-.044270214;1.0554928
2.6771326;-.048805341;1.0824752
2.6669192;-.053340472;1.1103065
2.6567061;-.0578756;1.1385105
2.646493;-.062410727;1.1665144
2.6362796;-.066945858;1.1936975
2.6260664;-.071480989;1.219342
2.6158533;-.076016113;1.2426823
2.6056399;-.080551244;1.2628566
2.5954268;-.085086375;1.2789541
2.5852137;-.089621499;1.2899681
2.5750005;-.09415663;1.2948434
2.5647871;-.098691761;1.2924285
2.554574;-.10322689;1.2815235
2.5443609;-.10776202;1.260832
2.5341475;-.11229715;1.2290095
2.5239344;-.11683227;1.1846149
2.5137212;-.1213674;1.126159
2.5035079;-.12590253;1.052056
2.4932947;-.13043766;.96067172
2.4830816;-.13497278;.85027587
2.4728682;-.13950792;.71908957
2.4626551;-.14404304;.5652377
