logmexp;zi_mean;zi_sd
6.8122859;.05675796;1.6132631
6.9659629;-.001320395;1.5129149
6.9585805;.035917666;1.4823757
7.0330877;-.004791101;1.4707305
6.9910483;.039115325;1.5078497
7.1123948;.038345609;1.4557579
7.0758677;.011704783;1.4155749
7.2072134;.054640323;1.417827
7.1858506;.0493774;1.4249003
7.1972628;-.00044992982;1.4581193
7.2284575;.04972741;1.4159461
7.2726116;.036392789;1.3870692
7.367166;.015003199;1.3544683
7.3366899;.10978781;1.3841166
7.3168106;.06937436;1.4507446
7.2876058;.07094866;1.3237203
6.727366;-.0293418;1.4371039
7.3799186;.0063740583;1.405082
;.1160626;1.3709683
;.12265757;1.3632779
;-.10615589;1.4197558
;-.11728954;1.5145907
;-.099854596;1.5110291
;-.064014561;1.4229209
;-.046435237;1.4215155
;-.049345508;1.4176595
;-.04012394;1.3779935
;-.065816149;1.3948156
;-.06558203;1.365219
;-.0026806125;1.3157074
;-.0035620127;1.337896
;-.044124272;1.344891
;-.055866566;1.3686937
;-.095781386;1.3473011
;-.0099033238;1.3300894
;-.062641487;1.3302028
;-.12571102;1.3324546
;-.13951154;1.3284833
;-.24261896;1.3691398
;-.2886343;1.370087
;-.32388055;1.4030915
