logmexp;zi_mean;zi_sd
;.012971796;1.5541445
;-.016689047;1.4703088
;.022201071;1.4514748
;-.02977425;1.4496328
;.010326738;1.4706116
;.013758092;1.4246149
;-.020206606;1.3840499
7.2755718;.027708763;1.3873672
6.9135823;-.0027339829;1.4083312
7.2802916;-.037989691;1.4425756
7.5114646;.0044093109;1.3854951
7.3833852;.010889173;1.3544652
7.3941231;-.011928874;1.3368425
7.1510386;.078095905;1.357308
7.4953823;.037541196;1.4221405
7.5961418;.052358396;1.3009397
7.7214546;-.0549866;1.426123
7.3764467;-.01174749;1.3835359
7.4550233;.10035879;1.3485427
7.6036911;.11440326;1.3426738
7.3147311;-.10542027;1.4040856
7.3032861;-.10826703;1.5042298
7.3624487;-.085321389;1.4888111
7.4638839;-.043071628;1.4071538
7.4443226;-.021437418;1.4053497
7.4428115;-.018970886;1.399794
7.442481;-.00073383929;1.3608028
7.396368;-.01773263;1.3822544
7.5098476;-.012664761;1.3548504
7.6580868;.052448492;1.3008014
7.748497;.063380808;1.3161988
7.590868;.032037053;1.3333747
7.6585145;.02980216;1.3595144
7.6521115;-.0051833238;1.3301678
7.6823497;.10016834;1.3102117
7.755619;.042228643;1.3231088
7.7973151;-.0084147388;1.3120625
7.7537365;-.017203366;1.3192106
7.7367682;-.092507511;1.3774877
7.5810237;-.14564678;1.3461169
;;
