lwpred;zimean_pred;zisd_pred
1.752898;1.2690362;.78674972
1.7348089;1.2726145;.77959496
1.71672;1.2761928;.77437544
1.698631;1.2797711;.77125847
1.680542;1.2833493;.77037787
1.6624531;1.2869276;.7718339
1.6443641;1.2905059;.77569318
1.6333464;1.2940842;.78198892
1.6215922;1.2976624;.7907207
1.6016004;1.3012407;.80185467
1.5815705;1.304819;.81532329
1.5629859;1.3083972;.83102572
1.5504414;1.3119755;.8488273
1.5290848;1.3155538;.86856002
1.5094925;1.3191321;.89002228
1.4914099;1.3227103;.91298032
1.473271;1.3262886;.93716133
1.4530007;1.3298669;.96226859
1.4366554;1.3334451;.98796082
1.4151549;1.3370234;1.0138744
1.4004869;1.3406017;1.0396007
1.3797373;1.34418;1.0647092
1.3629477;1.3477582;1.0887243
1.3431498;1.3513365;1.1111481
1.3227779;1.3549148;1.1314381
1.3078985;1.358493;1.1490294
1.2875345;1.3620713;1.1633123
1.2689586;1.3656496;1.1736549
1.2514106;1.3692279;1.1793804
1.2327373;1.3728061;1.1797897
1.2171408;1.3763844;1.174139
1.1962336;1.3799627;1.1616623
1.1785591;1.3835409;1.1415488
1.1599339;1.3871192;1.112965
1.1403477;1.3906975;1.0750331
1.1223696;1.3942758;1.0268528
1.1085464;1.397854;.96747917
1.0882788;1.4014323;.89594471
1.0680553;1.4050106;.81123745
1.0503796;1.4085888;.71232283
1.0293388;1.4121671;.59812176
