lhwage;zi_mean;zi_sd
3.2461917;-.081247322;.90488636
3.3490915;-.062269565;.8888166
3.342838;-.032046396;.84464633
3.3701141;-.014597252;.82483262
3.3382969;-.014497926;.90682328
3.4005809;-.010819672;.84833741
3.3160503;.011444478;.89518011
3.3508132;.017349048;.8700822
3.2820077;.0029603918;.84645921
3.3259997;.064567782;.93821269
3.2601171;.017566506;.8986032
3.3341639;.042364456;.92720979
3.1459942;.065519653;.9511826
3.4614213;.12506977;1.0397153
3.1209426;-.026913375;.97138852
3.2767503;.055450708;1.024276
2.7689428;-.053549912;1.0364305
3.2498956;.074842997;1.0783967
;-.066514626;1.1449533
;-.083058544;1.0718776
;-.074684389;1.1921787
;.073198371;1.1165328
;-.13426425;1.2731786
;-.045221027;1.1837144
;-.10378761;1.2118814
;-.20508491;1.1544319
;-.083449095;1.2890162
;-.031898338;1.2347108
;-.14943324;1.3492776
;-.15094951;1.2155061
;.11285081;1.4260392
;.037073657;1.4083869
;.33807737;1.3911169
;-.39469826;1.3635046
;.1312599;1.220865
;.018329997;1.1170723
;-.41704649;.88494611
;.74784058;.54674029
;-.15700281;.7667076
;.42490038;1.2731577
;;
