lmpred;zimean_pred;zisd_pred
7.0073662;-.14393389;1.5171961
7.0218153;-.098435044;1.4759988
7.0362644;-.061286878;1.442439
7.0507135;-.031578075;1.4156671
7.0651627;-.0084441593;1.3948761
7.0796118;.0089325001;1.3793013
7.0940604;.021322677;1.3682204
7.1085095;.029450299;1.360954
7.1229587;.033992436;1.3568648
7.1374078;.035579316;1.3553581
7.1518569;.034794305;1.3558817
7.166306;.032173928;1.3579259
7.1807547;.02820785;1.3610235
7.1952038;.023338892;1.3647498
7.2096529;.017963022;1.3687224
7.224102;.012431306;1.3726001
7.2385511;.0070401537;1.3760906
7.2530003;.0020527882;1.3789324
7.2674489;-.0023300368;1.3809201
7.281898;-.005938801;1.3818768
7.2963471;-.008666452;1.3816825
7.3107963;-.010437172;1.3802452
7.3252454;-.01123761;1.3775296
7.3396945;-.011085652;1.373529
7.3541431;-.010061649;1.3682928
7.3685923;-.0082771871;1.3618995
7.3830414;-.0059063206;1.3544836
7.3974905;-.0031543386;1.3462082
7.4119396;-.00028899728;1.337293
7.4263887;.0023907127;1.3279861
7.4408374;.0045233327;1.3185922
7.4552865;.0057161697;1.3094443
7.4697356;.0055140629;1.3009319
7.4841847;.0034306175;1.2934734
7.4986339;-.0010830298;1.2875431
7.513083;-.0086069759;1.2836441
7.5275316;-.019783787;1.282336
7.5419807;-.035287261;1.284207
7.5564299;-.055853665;1.2899014
7.570879;-.082250506;1.3000923
7.5853281;-.11530775;1.3155093
