prob_00ah;prob_01ah;prob_10ah;prob_11ah
.12448273;.21387714;.10249601;.55914414
.10493339;.23380111;.11252005;.54874545
.027457505;.15468781;.064670503;.7531842
.022873458;.13141538;.057559732;.78815144
