lhwage;zi_mean;zi_sd
;-.07185144;.89154691
;-.058993109;.88614327
;-.028091198;.83531624
;-.015825083;.82137555
;-.012408939;.90652812
;-.0092306063;.85667992
;.0072162459;.8873561
2.8300173;.021306584;.88953984
2.7034738;-.002923931;.83813488
2.6840479;.060250964;.92764872
2.7457895;.011366588;.89456195
2.632165;.030673755;.92436981
2.8073092;.072603092;.93006247
2.7578948;.11237466;1.0406402
2.5651805;-.023376137;.92548358
2.6064606;.095234483;.94938374
2.5235996;-.03158031;.98462683
2.4731927;.061524518;1.0646772
2.4823215;-.031528432;1.0813351
2.3435779;-.070441291;1.053015
2.3316922;-.081085578;1.163551
2.4657972;.068901539;1.1038295
2.3125262;-.13308351;1.2558588
2.4152758;-.030444238;1.1489813
2.2032316;-.088546008;1.2003183
2.2999575;-.18190397;1.1100789
2.4700933;-.093453236;1.2602419
2.3414171;-.060151063;1.245833
2.1057224;-.15565962;1.3318812
2.1190116;-.19010606;1.2157109
2.3604114;.08299841;1.4214646
2.2470696;.09654887;1.3363539
2.5751786;.34637561;1.3866606
2.078052;-.34373876;1.2629192
2.3313756;.10969953;1.2389889
2.3099246;-.031853072;1.1169934
2.531332;-.40553629;.82622814
2.5756471;.69484699;.54724544
1.205652;-.21177667;.76694542
2.1921067;.3683494;1.2733324
;;
