lwpred;zimean_pred;zisd_pred
1.3698989;1.2690362;.78674972
1.3588768;1.2726145;.77959496
1.3478546;1.2761928;.77437544
1.3368325;1.2797711;.77125847
1.3258103;1.2833493;.77037787
1.3147882;1.2869276;.7718339
1.303766;1.2905059;.77569318
1.3106638;1.2940842;.78198892
1.3073187;1.2976624;.7907207
1.2932943;1.3012407;.80185467
1.2800739;1.304819;.81532329
1.2757475;1.3083972;.83102572
1.2596918;1.3119755;.8488273
1.2479391;1.3155538;.86856002
1.2429404;1.3191321;.89002228
1.2274278;1.3227103;.91298032
1.219391;1.3262886;.93716133
1.205752;1.3298669;.96226859
1.1941265;1.3334451;.98796082
1.1825887;1.3370234;1.0138744
1.1699724;1.3406017;1.0396007
1.1600088;1.34418;1.0647092
1.1431086;1.3477582;1.0887243
1.135976;1.3513365;1.1111481
1.119212;1.3549148;1.1314381
1.1098068;1.358493;1.1490294
1.099443;1.3620713;1.1633123
1.0874362;1.3656496;1.1736549
1.0748731;1.3692279;1.1793804
1.0643102;1.3728061;1.1797897
1.0518883;1.3763844;1.174139
1.0414088;1.3799627;1.1616623
1.028669;1.3835409;1.1415488
1.0172364;1.3871192;1.112965
1.0076138;1.3906975;1.0750331
.99339312;1.3942758;1.0268528
.98057836;1.397854;.96747917
.96989983;1.4014323;.89594471
.95847797;1.4050106;.81123745
.95064723;1.4085888;.71232283
.92901301;1.4121671;.59812176
