age;sc;s1;s2;s3;s4;s5
50;1;.2667685727031779;.1179087848178757;.0767827847828924;.0116341246338244;.0840409194692495
50;2;.3764662660403601;.4423997551270278;.1714280307067391;.0537791807970326;.0894036775519822
50;3;.3567651612564621;.3582418120599938;.475880746930372;.2750886904370657;.3914894654305238
50;4;0;.070976430976431;.262046179636615;.5851490372402129;.3510412688610639
50;5;0;.0104732170186716;.0138622579433816;.0743489668918643;.0840246686871806
51;1;.2884770898723941;.1446747189459196;.045659322991701;.0108841271924734;.0294518272425249
51;2;.3630006807476345;.4281342787668215;.1873686858612805;.0709114419204054;.0146013289036545
51;3;.2832938134203228;.3587655024627231;.4971151353119461;.3361924484214842;.2080730897009967
51;4;.0467134509336294;.0619115410748374;.2483567138655091;.5412942711751515;.4390919158361019
51;5;.0185149650260192;.0065139587496982;.0215001419695633;.0407177112904853;.308781838316722
52;1;.290465618624745;.1431920967847848;.0405026970350945;.0185917447350285;.0191827856091787
52;2;.311802472098884;.4029473414306963;.1795110875393801;.0932757718007018;.0487598899575611
52;3;.2637465498619945;.3947302865207363;.5217322126441698;.3911371542371598;.1998549828325265
52;4;.1208688347533901;.0358768489285569;.2276859756619162;.4142553652042525;.4594634364803479
52;5;.0131165246609864;.0232534263352258;.0305680271194394;.0827399640228573;.2727389051203856
53;1;.3332060692644958;.1421865214990674;.0687435754481942;.0215756482949277;.03921639108555
53;2;.3015949061530125;.3652946656174273;.1580152272766869;.1194475354629518;.0684279894560268
53;3;.2289410808414207;.376636181887408;.5215137550743071;.3305100109323373;.302278536624331
53;4;.1170464062269077;.1026503412631849;.2314650591494329;.4396173010494678;.4113108075724898
53;5;.0192115375141633;.0132322897329126;.020262383051379;.0888495042603154;.1787662752616024
54;1;.2377085134030681;.1226507116066676;.0347444971791509;.0109031494428973;.012250245746792
54;2;.4051495534270577;.3629610957222592;.1916255314834646;.0878596060186051;.0607080687084184
54;3;.229617869973482;.3607171771513909;.520036794602895;.3380873020549648;.295332003253661
54;4;.09976186696301;.125393066963505;.2270507921823086;.482038593677544;.3625473940241799
54;5;.0277621962333821;.0282779485561773;.026542384552181;.0811113488059889;.2691622882669485
