1,65
2,-1
3,70
4,72
5,69
6,68
7,72
8,70
9,68
10,70
11,65
12,68
13,74
14,66
15,68
16,63
17,68
18,69
19,69
20,68
21,66
22,72
23,68
24,70
25,70
26,66
27,70
28,70
29,68
30,68
31,70
32,-1
33,66
34,-1
35,68
36,73
37,70
38,67
39,-1
40,63
41,68
42,66
43,70
44,68
45,65
46,-1
47,70
48,69
49,70
50,66
51,69
52,70
53,70
54,-1
55,-1
56,66
57,63
58,68
59,69
60,70
61,68
62,69
63,-1
64,69
65,68
66,66
67,66
68,64
69,65
70,-1
71,70
72,67
73,65
74,65
75,70
76,66
77,66
78,65
79,70
80,70
81,70
82,-1
83,69
84,69
85,66
86,64
87,70
88,-1
89,67
90,71
91,67
92,-1
93,69
94,70
95,70
96,72
97,70
98,70
99,70
100,-1
101,62
102,63
103,67
104,70
105,67
106,69
107,70
108,69
109,72
110,64
111,67
112,62
113,68
114,72
115,64
116,71
117,-1
118,63
119,69
120,63
121,70
122,69
123,70
124,70
125,65
126,64
127,71
128,70
129,67
130,70
131,69
132,70
133,67
134,64
135,71
136,-1
137,63
138,72
139,65
140,71
141,70
142,70
143,69
144,69
145,68
146,-1
147,-1
148,69
149,64
150,69
151,65
152,70
153,68
154,68
155,70
156,67
157,-1
158,70
159,70
160,70
161,-1
162,-1
163,65
164,70
165,70
166,69
167,70
168,70
169,70
170,68
171,70
172,69
173,73
174,-1
175,68
176,70
177,70
178,70
179,68
180,70
181,67
182,67
183,70
184,-1
185,64
186,73
187,-1
188,70
189,69
190,65
191,68
192,69
193,65
194,68
195,65
196,-1
197,71
198,68
199,65
200,64
201,64
202,70
203,67
204,-1
205,69
206,70
207,-1
208,68
209,66
210,71
211,66
212,69
213,69
214,73
215,71
216,65
217,70
218,71
219,71
220,70
221,70
222,71
223,-1
224,67
225,-1
226,69
227,68
228,70
229,70
230,69
231,66
232,70
233,69
234,70
235,-1
236,73
237,64
238,70
239,-1
240,68
241,68
242,72
243,71
244,65
245,-1
246,67
247,67
248,73
249,62
250,68
251,70
252,70
253,69
254,65
255,65
256,-1
257,73
258,70
259,-1
260,-1
261,62
262,71
263,70
264,67
265,70
266,-1
267,70
268,70
269,73
270,-1
271,70
272,70
273,-1
274,66
275,67
276,72
277,69
278,70
279,68
280,67
281,-1
282,70
283,75
284,64
285,67
286,70
287,70
288,70
289,68
290,66
291,-1
292,-1
293,69
294,70
295,-1
296,-1
297,70
298,69
299,69
300,-1
301,68
302,69
303,67
304,70
305,69
306,71
307,70
308,65
309,69
310,64
311,70
312,65
313,-1
314,68
315,65
316,-1
317,72
318,70
319,70
320,70
321,70
322,70
323,-1
324,69
325,67
326,70
327,-1
328,70
329,67
330,69
331,64
332,70
333,-1
334,-1
335,68
336,70
337,67
338,67
339,69
340,62
341,65
342,64
343,-1
344,66
345,70
346,69
347,71
348,69
349,69
350,69
351,70
352,67
353,-1
354,70
355,64
356,70
357,68
358,69
359,66
360,70
361,68
362,67
363,70
364,64
365,-1
366,-1
367,72
368,68
369,70
370,65
371,67
372,68
373,68
374,70
375,66
376,69
377,68
378,-1
379,-1
380,-1
381,70
382,-1
383,69
384,71
385,-1
386,70
387,70
388,70
389,-1
390,69
391,69
392,-1
393,70
394,65
395,-1
396,-1
397,69
398,70
399,70
400,70
401,72
402,69
